id,category,question,followUp,intensity,type,tags,energy
q0001,Light & Funny,What is the most unnecessary thing you have bought recently?,Did you regret it immediately or defend the purchase?,1,question,funny|icebreaker,5
q0002,Light & Funny,Which everyday task do you behave as though you are professionally trained to do?,Who would disagree with your assessment?,1,question,funny|icebreaker,5
q0003,Light & Funny,What harmless habit of yours would annoy someone who lived with you?,How long would it take them to notice?,1,question,funny|icebreaker,5
q0004,Light & Funny,What food combination do you enjoy that other people would judge?,Would you serve it proudly to guests?,1,question,funny|icebreaker,5
q0005,Light & Funny,Which fictional character would be the worst person to sit beside on a long train journey?,Who would be surprisingly good company?,1,question,funny|icebreaker,5
q0006,Light & Funny,What is the funniest lie you believed as a child?,Who convinced you?,1,question,funny|icebreaker,5
q0007,Light & Funny,Which app on your phone knows far too much about you?,What would its data say your personality is?,1,question,funny|icebreaker,5
q0008,Light & Funny,What is your most irrational minor annoyance?,How quickly does it ruin your mood?,1,question,funny|icebreaker,5
q0009,Light & Funny,What is the worst haircut or fashion decision you have ever made?,Is there photographic evidence?,1,question,funny|icebreaker,5
q0010,Light & Funny,Which celebrity would be funniest as your next-door neighbour?,What would you borrow from them?,1,question,funny|icebreaker,5
q0011,Light & Funny,What is the most dramatic reaction you have had to a very small inconvenience?,Did anyone witness it?,1,question,funny|icebreaker,5
q0012,Light & Funny,What household item do you keep refusing to replace even though it is clearly finished?,Why are you emotionally attached to it?,1,question,funny|icebreaker,5
q0013,Light & Funny,What is your funniest public transport story?,Was it funny at the time?,1,question,funny|icebreaker,5
q0014,Light & Funny,Which song makes you perform as though you are headlining a concert?,What is your signature move?,1,question,funny|icebreaker,5
q0015,Light & Funny,What is the strangest compliment you have ever received?,Did you accept it as a compliment?,1,question,funny|icebreaker,5
q0016,Light & Funny,Which job would you be terrible at despite thinking you could probably do it?,How long would you last?,1,question,funny|icebreaker,5
q0017,Light & Funny,What is your most embarrassing autocorrect or wrong-message story?,Could you recover from it?,1,question,funny|icebreaker,5
q0018,Light & Funny,What smell instantly makes you hungry?,What meal does it bring to mind?,1,question,funny|icebreaker,5
q0019,Light & Funny,What is the funniest thing you have seen a family member do?,Do they know you still tell the story?,1,question,funny|icebreaker,5
